,Nº,REGIÃO,UF,ENTE,ANO,N.JUR,POP,TAM.ATV,AD.PROG,C.PROG,PRT_massa,MassaSeg.,GR_POD,GR_SEGR,GR_C.ÉT,CIE_REL,CIE_FISC,CIE_AUD,CIE_CRP,GI_DIV.CART,GI_C.TÉC,GI_P.INV,GI_COMITÊ,GI_CONS,SA_AMRTZ,SA_PUB.REL,SA_REPAS,SA_R.ALIQ,GTI_POL.INFR.,GTI_INV.TI,DDM_CART,DDM_ACES,DDM_ATAS,RP_REG.ENV,RP_REL.GOV,RP_SITE,PS_OUV,PS_GEST,IP_REP.CF,IP_SELEC,LI_CERT.MB,LI_DIR.CERT,LI_P.EST.,R.FIN,IND.SF,R.INV,VAR.INV,R.AT,IND.COB
208,209,NE,PE,Recife,2001-12-27,Autarquia,1653461,2358284592.79,SIM,NÍVEL III,GRANDE PORTE,menos favorável,1,1,1,1,REG,REG,REG,REG,B,1,1,0,0,REG,REG,1,0,1,1,REG,1,A,1,1,1,0,B,ESC,B,1,1,-122570754.27999997,0.7824760642487394,424901190.75,0.21977078643670356,-10028415688.810001,0.19038844399045865
209,210,SE,SP,Ribeirão Preto,2000-05-23,Autarquia,711825,469851246.2,SIM,NÍVEL II,GRANDE PORTE,menos favorável,1,1,1,1,REG,REG,REG,REG,B,1,1,1,0,REG,REG,1,1,0,1,REG,1,A,0,0,1,0,B,ESC,B,1,0,-234828204.39999998,0.5613930263081633,70819710.75,0.1774789821314109,-7644152526.940001,0.05790621490161995
210,211,N,AC,Rio Branco,2009-12-23,Autarquia,413418,480942072.13,SIM,NÍVEL I,GRANDE PORTE,mais favorável,1,1,1,1,REG,REG,REG,REG,A,1,1,0,0,REG,REG,1,1,1,1,REG,1,B,1,1,1,1,B,ESC,C,1,1,91572003.13,3.228919572044924,90215306.37,0.23089103249561838,-295511611.2210958,0.6194085783124919
211,212,CO,MS,Rio Brilhante,1969-06-19,Autarquia,38186,138937133.18,SIM,NÃO,GRANDE PORTE,menos favorável,1,1,0,0,REG,REG,REG,REG,B,1,1,1,0,REG,REG,0,0,1,1,REG,1,A,0,1,1,0,B,ESC,C,1,0,18847119.830000002,2.3235372324853723,25366459.81,0.22335396152278708,-184846091.26,0.429105409708298
212,213,CO,GO,Rubiataba,1991-06-07,Autarquia,19947,1511015.67,NÃO,,MÉDIO PORTE,menos favorável,1,1,0,0,REG,REG,IRG,IRG,C,1,0,1,0,IRG,REG,0,0,1,1,REG,1,C,0,1,1,1,A,ESC,C,1,0,-2213411.2399999993,0.7034288071691048,-317486.9199999999,-0.17363219594892676,-116396779.01,0.012815231377203466
213,214,S,SC,Salto Veloso,2003-06-24,Autarquia,4756,29601610.51,SIM,NÍVEL I,PEQUENO PORTE,menos favorável,1,1,1,0,REG,REG,REG,REG,B,1,1,1,1,REG,REG,0,1,0,1,REG,1,A,0,1,1,0,B,ESC,B,1,0,,,4498986.550000001,0.17922375593758444,-11305925.120000001,0.7236224342072399
214,215,NE,BA,Salvador,1973-01-15,Autarquia,2886698,40150030.21,NÃO,,GRANDE PORTE,menos favorável,1,1,1,0,REG,REG,JUD,REG,A,1,1,0,1,JUD,REG,0,1,0,1,REG,1,B,0,1,1,1,A,ESC,C,0,0,-81187860.64999998,0.8601748268729628,15143194.7,0.605562214936967,,
215,216,SE,MG,Santa Luzia,2006-03-29,Autarquia,72887,142973930.91,NÃO,,MÉDIO PORTE,menos favorável,1,1,1,0,JUD,REG,JUD,JUD,B,1,1,1,0,JUD,REG,1,0,1,1,JUD,1,B,0,1,1,1,B,ESC,B,1,0,,,-4272640.060000001,-0.24202169065219847,,
216,217,SE,SP,Santo André,2004-06-07,Autarquia,2509,850208018.0500001,SIM,NÍVEL I,GRANDE PORTE,menos favorável,1,1,1,1,REG,REG,REG,REG,A,1,1,1,0,REG,REG,0,1,0,1,REG,1,B,1,1,0,0,B,ESC,C,1,1,-97318779.09,0.6785481818194377,199708919.9100001,0.3070087575540632,-2805678287.041918,0.23255865940519826
217,218,S,RS,Santo Antônio da Patrulha,2005-10-07,Órgão Adm. Direta,43171,117745728.01,SIM,NÍVEL I,MÉDIO PORTE,menos favorável,1,1,1,1,REG,REG,IRG,REG,B,1,1,1,1,REG,REG,1,1,0,1,REG,1,A,1,1,1,0,A,ESC,B,1,1,16613751.510000002,2.294708906898841,16600351.87,0.16412368516997433,-174383585.42000002,0.40306029760417805
218,219,SE,SP,Santos,2006-12-28,Autarquia,433656,1384546116.28,SIM,NÍVEL II,GRANDE PORTE,menos favorável,1,0,1,1,REG,REG,IRG,REG,B,1,1,1,0,REG,REG,1,1,0,1,REG,1,A,1,1,1,0,C,ESC,B,1,1,-167312862.75,0.5949219172867142,233388698.79,0.20274264426744004,-6219285384.990001,0.18208532317539539
219,220,SE,SP,São Bernardo do Campo,2011-09-06,Autarquia,844483,1473189588.51,SIM,NÍVEL I,GRANDE PORTE,menos favorável,1,1,1,1,REG,REG,IRG,REG,B,1,1,1,0,REG,REG,1,0,0,1,REG,1,A,0,1,0,0,B,ESC,A,1,0,-171401159.86999995,0.6841228475582906,292205653.76,0.24742559586287372,-5727163400.98,0.2045996343040879
220,221,S,SC,São Francisco do Sul,2015-07-10,,53746,74292365.31,SIM,NÍVEL II,MÉDIO PORTE,mais favorável,1,1,1,0,REG,REG,REG,REG,B,1,1,1,0,REG,REG,1,1,0,1,REG,1,B,0,1,1,0,C,ESC,A,1,1,15484583.430000002,3.3489784594306453,23590238.07,0.46527117014903374,-210744529.49,0.2606412245759562
221,222,S,RS,São Gabriel,2005-10-31,Autarquia,18789,79448356.15,SIM,NÍVEL I,MÉDIO PORTE,mais favorável,1,1,1,0,REG,REG,JUD,REG,B,1,1,1,1,REG,JUD,1,0,0,1,REG,1,B,0,1,0,0,C,ESC,C,1,1,-6910019.43,0.5482441544435477,9834676.879999995,0.14127506236031184,-170118214.66,0.3183453452605462
222,223,NE,CE,São Gonçalo do Amarante,1993-04-29,Autarquia,48869,80125847.02000001,SIM,NÃO,MÉDIO PORTE,mais favorável,1,1,0,0,REG,REG,REG,REG,B,1,1,1,0,REG,REG,0,0,1,1,REG,1,A,0,1,1,0,A,ESC,C,0,0,5518068.06,2.0861668997644993,5647428.770000011,0.07582637900610911,-484423908.52,0.1419287604568325
223,224,SE,RJ,São João de Meriti,2009-10-14,Autarquia,472906,6129757.9,SIM,NÃO,MÉDIO PORTE,menos favorável,1,1,0,0,REG,REG,IRG,REG,B,1,1,1,0,REG,REG,0,0,1,1,REG,1,A,0,1,1,0,C,ESC,A,1,0,,,352176.1100000003,0.06095562517341713,-1255471627.7199998,0.0048587120859792015
224,225,SE,SP,São José do Rio Preto,1997-07-24,Autarquia,464983,375157740.71,SIM,NÍVEL II,GRANDE PORTE,menos favorável,1,1,1,1,REG,REG,REG,REG,B,1,1,1,1,REG,REG,1,0,1,1,REG,1,A,1,0,1,0,B,ESC,C,1,1,-15755206.489999995,0.8869913130927667,44530342.5,0.13468436899387348,-1674530866.46,0.18303157825908947
225,226,SE,SP,São José dos Campos,1992-07-24,Autarquia,729737,2385194489.57,SIM,NÍVEL II,GRANDE PORTE,menos favorável,1,1,1,1,REG,REG,JUD,REG,B,1,1,0,0,REG,REG,1,1,0,1,REG,1,A,1,1,1,0,C,ESC,C,1,1,-221812186.7,0.5632084672386953,186838342.4399996,0.08499002433428338,-6176738673.779999,0.278581302150314
226,227,NE,RN,São Miguel,2014-06-30,Autarquia,23655,18428937.1,NÃO,,MÉDIO PORTE,mais favorável,1,1,0,0,REG,REG,IRG,REG,B,1,1,1,0,IRG,IRG,0,0,0,1,REG,1,C,0,1,1,1,B,EL,C,1,0,3146300.4999999995,1.7655639077565104,3771591.810000001,0.25731752478896563,,
227,228,SE,ES,Serra,1998-05-06,Autarquia,527240,335070420.95,SIM,NÃO,GRANDE PORTE,menos favorável,1,1,0,1,REG,REG,JUD,REG,B,1,1,,0,JUD,JUD,1,0,1,1,REG,1,B,1,1,1,1,C,ESC,C,1,1,32569860.590000004,1.2527564069053234,38375140.5,0.12934193102699898,-2048326824.5199997,0.14058521783846611
228,229,SE,SP,Sorocaba,1993-03-01,Fund. Dir. Púbico,687357,1656074022.82,SIM,NÍVEL I,GRANDE PORTE,menos favorável,1,1,1,1,REG,REG,REG,REG,B,1,1,0,0,REG,REG,0,0,0,1,REG,1,C,1,1,1,0,A,EL,B,1,1,-64913948.859999985,0.7972573655854245,337197669.6400001,0.2556704188584229,-2366107863.21589,0.41173523966420217
229,230,S,SC,Taió,2002-04-06,Autarquia,18486,42615515.24,SIM,NÃO,MÉDIO PORTE,mais favorável,1,1,0,0,REG,REG,REG,REG,B,1,1,1,1,REG,REG,0,0,0,1,REG,1,A,0,1,1,0,C,ESC,B,1,1,4735678.240000002,2.135468385918411,7994909.719999999,0.23092922841518226,-51567890.99999999,0.4524737099803581
230,231,NE,CE,Tauá,2013-08-28,Autarquia,59062,3136067.24,NÃO,,MÉDIO PORTE,menos favorável,1,1,0,0,REG,REG,IRG,REG,A,1,1,0,0,IRG,REG,1,0,0,1,REG,0,C,0,1,1,0,A,ESC,C,1,0,-6778231.86,0.4106808597242676,2521992.08,4.1069762209564065,38495499.24,-0.08869110906532662
231,232,SE,MG,Teófilo Otoni,2001-10-04,Fund. Dir. Púbico,140937,81060544.95,SIM,NÃO,MÉDIO PORTE,menos favorável,1,1,1,1,REG,REG,JUD,REG,B,1,1,0,0,REG,REG,1,0,0,1,REG,1,B,0,1,1,1,B,EL,C,1,1,-34065870.5,-1.0935549991191077e-16,4376354.370000005,0.05706983847517333,-569721952.02,0.12455858190318962
232,233,NE,PI,Teresina,1991-07-18,Autarquia,868075,506950368.64,NÃO,,GRANDE PORTE,menos favorável,1,1,0,0,REG,REG,JUD,REG,A,0,1,1,0,JUD,REG,0,0,1,1,REG,1,C,0,1,1,0,,ESC,B,1,0,-58233179.67000002,0.8428507034880584,11397832.32999998,0.023000250215387652,-4702814659.349999,0.09730772230923215
233,234,S,PR,Toledo,2006-05-04,Outros,6297,353585444.78,SIM,NÍVEL II,MÉDIO PORTE,menos favorável,1,1,1,1,REG,REG,REG,REG,B,1,1,0,0,REG,REG,1,1,1,1,REG,1,A,1,1,1,0,B,ESC,B,1,1,29913801.22,1.5340871540532475,47579740.90999997,0.1554864510963927,-525721604.6400001,0.4021182873641563
234,235,CO,MS,Três Lagoas,2014-03-18,Autarquia,123281,94966269.44000001,SIM,NÃO,MÉDIO PORTE,mais favorável,1,1,1,1,REG,REG,REG,REG,B,1,1,1,0,REG,REG,0,1,1,1,REG,1,B,0,1,1,0,A,ESC,B,1,0,24514076.119999997,2.039268317728612,23105438.55000001,0.3215303561597882,-412355001.2,0.18719157846505707
235,236,SE,MG,Três Marias,2005-12-20,Autarquia,32716,69792368.52000001,SIM,NÃO,MÉDIO PORTE,menos favorável,1,1,1,1,REG,REG,IRG,REG,B,1,1,1,0,REG,REG,0,1,1,1,REG,1,B,0,1,1,1,A,ESC,C,0,0,3211324.289999999,1.2393752436138827,7658550.050000004,0.12325896329223318,-135356917.3063014,0.3402028344329347
236,237,SE,SP,Ubatuba,1994-03-29,Autarquia,91824,401574544.77,SIM,NÍVEL I,MÉDIO PORTE,menos favorável,1,1,1,1,REG,REG,REG,REG,B,1,1,0,0,REG,REG,1,1,1,1,REG,1,A,1,1,1,0,B,EL,B,1,1,5145950.689999998,1.1587077534979489,54080728.89999998,0.15563076644860918,-296606100.9100002,0.5751728399444278
237,238,SE,MG,Uberlândia,2002-06-24,Autarquia,699097,748661149.04,NÃO,,GRANDE PORTE,menos favorável,1,1,0,0,REG,REG,JUD,REG,B,1,1,1,1,JUD,REG,0,0,0,1,REG,0,C,0,1,1,0,C,ESC,C,1,0,71640.95000001788,1.0003375714784368,13702938.70999992,0.018644514092641007,-3114060216.91,0.19381702124296865
238,239,S,PR,Umuarama,2001-12-07,Outros,112500,71608899.46,SIM,NÃO,MÉDIO PORTE,menos favorável,1,1,0,0,REG,REG,JUD,REG,B,1,1,1,0,REG,REG,0,0,1,1,REG,1,A,0,1,1,0,B,ESC,C,1,0,1786528.7699999996,1.0640346585791398,12462178.25999999,0.21069939308825103,-395291560.72,0.15337080505851985
239,240,SE,SP,União Paulista,2000-05-18,Fund. Dir. Púbico,1865,12408604.34,NÃO,,PEQUENO PORTE,menos favorável,1,1,0,0,IRG,REG,IRG,REG,A,1,1,0,0,IRG,REG,1,0,0,1,REG,1,A,0,1,1,0,A,EL,C,0,0,-170233.83000000007,0.8470988831212272,1551007.549999999,0.142849986051103,-9767790.68,0.5595410944298737
240,241,N,RO,Vale do Anari,2010-10-20,Autarquia,11377,18204131.73,NÃO,,PEQUENO PORTE,mais favorável,1,1,0,0,REG,REG,JUD,REG,C,1,0,0,0,JUD,JUD,1,0,0,1,REG,1,B,0,1,1,0,C,ESC,B,0,0,3691242.66,3.272141466305043,3770733.43,0.26125056286986825,-15765921.960000012,0.5358876349188365
241,242,SE,SP,Valinhos,2013-07-11,Autarquia,131210,215665197.13,SIM,NÍVEL I,MÉDIO PORTE,mais favorável,1,1,1,1,REG,REG,REG,REG,B,1,1,1,0,REG,REG,1,1,1,1,REG,1,A,1,1,1,0,B,EL,C,1,1,38051397.86,3.8711306407221975,64023506.5,0.4222025370068905,-933012446.2299999,0.18775084409160883
242,243,CO,GO,Valparaíso de Goiás,2009-01-23,Autarquia,172135,157419791.8,NÃO,,MÉDIO PORTE,mais favorável,1,1,0,0,REG,REG,REG,REG,B,1,1,1,0,REG,REG,1,0,1,1,REG,1,C,0,1,1,1,A,ESC,C,1,0,24063236.459999997,2.438369268300865,7770735.920000017,0.05192639455227299,-382997169.67,0.29129321065682134
243,244,SE,MG,Varginha,2008-11-24,Autarquia,136602,392197913.49,SIM,NÍVEL II,MÉDIO PORTE,menos favorável,1,1,1,1,REG,REG,JUD,REG,B,1,1,1,0,REG,REG,0,1,1,1,REG,1,A,1,1,1,1,A,EL,C,1,1,51397533.02000001,2.258586604593063,60727201.90000004,0.18320533240690717,-233545112.93000007,0.6267715290953253
244,245,S,RS,Viamão,2009-12-31,Órgão Adm. Direta,256302,380638209.64,SIM,NÃO,MÉDIO PORTE,menos favorável,1,1,1,1,REG,REG,IRG,REG,B,1,1,1,0,REG,REG,1,1,1,1,REG,1,B,1,1,1,0,A,EL,C,1,1,24923830.749999993,1.4130769040967408,31791229.13999999,0.09113230418229179,-939442673.17,0.28834461175572185
245,246,SE,ES,Viana,1991-09-30,Autarquia,52649,61404671.31,SIM,NÃO,MÉDIO PORTE,menos favorável,1,1,1,1,REG,REG,JUD,JUD,A,1,1,,0,REG,REG,0,1,1,1,REG,1,A,1,1,1,1,B,ESC,C,1,1,-12136520.930000002,0.5731566512233732,9910832.07,0.19246636522493632,-332715815.95,0.15580177457126593
246,247,N,RO,Vilhena,2006-03-16,Autarquia,102211,150020751.09,SIM,NÃO,MÉDIO PORTE,mais favorável,1,1,0,0,REG,REG,REG,REG,C,1,0,1,0,REG,REG,1,0,0,1,REG,1,A,0,1,1,0,A,EL,B,0,0,29101988.129999995,3.815605919260162,28340966.56,0.2329143388071382,-126232790.29999998,0.5430545807128992
247,248,SE,ES,Vitória,1986-09-30,Autarquia,365855,667539479.7,SIM,NÍVEL II,GRANDE PORTE,menos favorável,1,1,1,1,REG,REG,REG,REG,B,1,1,,0,REG,REG,0,1,0,1,REG,1,A,0,1,1,1,B,ESC,B,1,1,-42521622.22,0.8406294113440336,109956544.01,0.19720213258307573,-3828615837.34,0.14846895461330908
248,249,SE,SP,Votuporanga,2011-12-21,Autarquia,95338,154427926.51,SIM,NÃO,GRANDE PORTE,menos favorável,1,1,0,0,REG,REG,REG,REG,B,1,1,0,1,REG,REG,0,0,0,1,REG,1,B,0,1,1,0,C,ESC,C,1,0,25455416.52000001,5.180761158519415,38004518.31999999,0.326433652053697,-201692822.93,0.43363922701173113
249,250,S,RS,Xangri-lá,2014-02-28,Autarquia,16775,51907863.47000001,NÃO,,MÉDIO PORTE,mais favorável,1,1,0,0,REG,REG,IRG,REG,B,1,1,1,1,REG,REG,1,0,1,1,REG,1,B,1,1,1,0,B,ESC,C,1,1,9128717.75,2.722749010730001,14451844.77,0.3858350479198156,-119233085.11999999,0.3033047549266246
250,251,CO,GO,Anhanguera,2004-12-28,Autarquia,1160,1566134.45,NÃO,,PEQUENO PORTE,menos favorável,1,1,,0,REG,REG,IRG,REG,C,1,0,1,0,IRG,REG,0,0,0,1,,0,,1,0,1,1,B,EL,C,1,1,-622842.16,0.5946934412224363,87999.48999999999,0.05953413753234016,-11095774.940000001,0.1236886477198207
251,252,S,SC,Anitápolis,2000-03-09,Autarquia,3228,14739837.58,NÃO,,PEQUENO PORTE,menos favorável,1,1,1,1,REG,REG,IRG,REG,C,1,1,1,1,REG,REG,0,0,0,1,,0,,1,1,1,0,C,ESC,B,1,0,1158181.05,1.6849157232954342,1780554.1,0.137396029861367,-6199158.927945208,0.7039419283730735
252,253,CO,MS,Aparecida do Taboado,2005-10-20,Autarquia,26069,60861036.1,NÃO,,MÉDIO PORTE,menos favorável,1,1,1,1,REG,REG,JUD,REG,B,1,1,0,0,JUD,REG,0,1,1,1,REG,1,B,1,0,1,0,B,EL,C,1,1,12225726.429999998,2.0905142661385674,12668046.2,0.26286076515041024,-149072143.34999996,0.2899067039305016
253,254,NE,CE,Aracati,1993-05-25,Autarquia,74975,4489652.02,NÃO,,MÉDIO PORTE,menos favorável,1,1,,1,REG,REG,JUD,REG,A,0,1,0,0,JUD,JUD,1,0,1,1,REG,0,B,1,0,1,0,B,ESC,C,0,0,-2000379.5300000012,0.8823024672019412,804624.6800000002,0.2183497178612519,-382373433.419452,0.01160527377508774
254,255,NE,AL,Arapiraca,1994-01-07,Autarquia,233047,55055470.92,NÃO,,GRANDE PORTE,menos favorável,1,1,,1,REG,REG,REG,REG,B,1,1,1,0,REG,REG,0,0,1,1,REG,0,B,1,1,1,0,C,EL,C,1,0,-32344416.330000006,0.5355589393608717,9766442.199999996,0.21564697844109548,-1087894046.988493,0.04816964359086231
255,256,S,PR,Arapoti,2002-06-05,Autarquia,28300,61315745.67,NÃO,,MÉDIO PORTE,menos favorável,1,,1,1,REG,REG,REG,REG,B,1,1,1,0,REG,REG,0,0,1,0,REG,1,B,0,1,1,0,B,ESC,C,1,0,6620748.039999999,1.5398054393617702,9585744.21,0.1853033817795684,-102482930.01999998,0.3743360281254299
256,257,CO,MT,Araputanga,2005-06-03,Autarquia,16951,38741698.69000001,NÃO,,PEQUENO PORTE,mais favorável,1,1,1,1,REG,REG,REG,REG,B,1,1,1,0,REG,REG,1,1,1,1,REG,1,B,1,1,1,0,B,EL,C,1,1,3580084.8800000018,2.124609925887262,5689160.450000003,0.17212476720214487,-24579466.290000007,0.611828583732415
257,258,NE,CE,Araripe,2009-12-23,Autarquia,21654,32664308.42,NÃO,,MÉDIO PORTE,mais favorável,1,1,1,0,REG,REG,IRG,REG,B,1,1,1,1,REG,REG,1,0,1,1,REG,0,B,0,1,1,1,C,ESC,C,1,1,4846308.130000002,2.786904438945911,3734700.52,0.12909613337690629,-48884400.22,0.4005496710462686
258,259,S,PR,Araucária,2004-05-14,Autarquia,146214,1164017802.33,NÃO,,GRANDE PORTE,menos favorável,1,1,1,0,REG,REG,REG,REG,B,1,1,0,0,REG,REG,0,0,0,1,REG,0,B,1,1,1,0,A,ESC,C,1,0,64948441.7,1.6436936170067384,126501962.7299999,0.12192774115021798,-1506555830.88,0.435868080121372
259,260,SE,MG,Arceburgo,2005-06-07,Autarquia,10883,19097543.58,NÃO,,PEQUENO PORTE,mais favorável,1,1,0,0,REG,REG,REG,REG,B,1,1,1,0,REG,REG,0,0,1,1,REG,0,A,0,1,1,0,B,ESC,C,0,0,,,2730493.040000001,0.1668286557389711,-18069687.47,0.5138274507000166
260,261,SE,RJ,Areal,2008-04-29,Fund. Dir. Púbico,12669,32262668.48,NÃO,,MÉDIO PORTE,menos favorável,1,1,1,1,REG,REG,IRG,REG,B,1,1,1,0,REG,REG,0,0,1,1,REG,1,A,1,1,1,0,B,EL,C,1,0,1727347.7999999998,1.271083563350937,2257956.75,0.07525340587566443,-126373372.04,0.203375401795486
261,262,N,RO,Ariquemes,2005-09-01,Autarquia,109523,201321052.19,SIM,NÃO,MÉDIO PORTE,mais favorável,1,1,1,0,REG,REG,REG,REG,B,1,1,0,0,REG,REG,1,0,1,1,REG,0,B,0,1,1,0,B,ESC,C,1,0,35832304.33,4.448420320140744,37346737.28,0.22775967870637825,-116457442.40999994,0.6335263575447754
262,263,SE,RJ,Armação dos Búzios,2011-12-20,Órgão Adm. Direta,34477,90922154.27000001,NÃO,,MÉDIO PORTE,mais favorável,1,1,1,1,,REG,IRG,REG,B,1,1,1,0,IRG,REG,0,1,1,1,REG,1,B,1,1,1,0,A,EL,C,1,1,,,20575512.89999999,0.2924874947729146,,
263,264,SE,RJ,Arraial do Cabo,2004-12-22,Autarquia,30593,428394.51,NÃO,,MÉDIO PORTE,menos favorável,1,1,1,1,IRG,REG,,,B,1,1,1,1,IRG,,0,0,0,1,REG,1,A,1,1,1,0,C,ESC,C,1,1,62314.39999999851,1.0046367022322227,301468.01,2.375138446266146,-190175041.58,0.002247569712215045
264,265,S,SC,Arroio Trinta,2008-08-21,Autarquia,3549,28255376.49,NÃO,,PEQUENO PORTE,menos favorável,1,1,1,1,REG,REG,REG,REG,B,1,1,0,0,REG,REG,0,0,1,0,REG,0,A,1,1,1,0,B,ESC,B,1,0,4056570.3200000003,3.757860778245235,5069320.530000001,0.21863660377364091,2080753.7650684863,1.079495081435751
265,266,SE,SP,Artur Nogueira,1994-06-29,Autarquia,55340,,NÃO,,MÉDIO PORTE,menos favorável,1,1,0,0,REG,JUD,JUD,REG,C,0,0,1,0,JUD,REG,0,0,1,1,REG,0,C,0,1,1,0,A,EL,,0,0,-3412112.780000001,0.7569562263712383,,,,
266,267,SE,SP,Aspásia,1993-11-18,Autarquia,1818,8633062.83,NÃO,,PEQUENO PORTE,mais favorável,1,1,1,1,REG,REG,IRG,REG,B,1,1,1,0,IRG,REG,1,0,1,1,REG,1,A,1,1,1,0,A,ESC,C,1,1,4783521.359999999,5.298895944023493,1364662.01,0.18775271807313443,-20749788.270000003,0.29381297276492
267,268,SE,SP,Assis,2006-12-26,Autarquia,105087,229058373.34,SIM,NÃO,MÉDIO PORTE,menos favorável,1,1,0,0,REG,REG,JUD,REG,B,1,1,1,1,JUD,REG,0,0,1,1,REG,0,B,0,1,1,0,B,EL,C,1,0,-2734542.9299999997,0.9180192274214728,29149406.93000001,0.14581340423828992,-338516619.99917805,0.4035737585836814
268,269,SE,SP,Avaré,2007-05-23,Autarquia,91232,198331438.68,NÃO,,MÉDIO PORTE,mais favorável,1,1,0,0,REG,REG,IRG,IRG,B,1,1,1,0,IRG,IRG,0,0,1,1,REG,0,B,0,1,1,0,A,ESC,C,1,0,23929401.520000007,2.073331834910264,37718012.49000001,0.23483723238293241,-449723649.42,0.3060410176879838
269,270,N,PA,Baião,2013-11-11,Autarquia,48459,1741279.87,NÃO,,MÉDIO PORTE,mais favorável,1,1,0,0,REG,REG,IRG,REG,B,1,1,0,1,REG,REG,1,0,1,,REG,0,A,0,1,1,0,B,ESC,C,0,0,-213761.2000000002,0.9089036387324398,-1849944.91,-0.5151292451262268,-209169996.76,0.008255982789648151
270,271,S,SC,Balneário Barra do Sul,2002-01-29,Autarquia,11035,28560825.86,SIM,NÃO,PEQUENO PORTE,mais favorável,1,1,1,1,REG,REG,REG,REG,B,1,1,1,1,REG,REG,1,1,1,1,REG,0,A,1,1,1,0,A,EL,B,1,1,5487377.81,5.000673170626579,5628593.580000002,0.2454446436472253,-19993480.990000002,0.5882243556320071
271,272,S,SC,Balneário Piçarras,1999-09-25,Autarquia,23772,41045404.01000001,NÃO,,MÉDIO PORTE,mais favorável,1,1,0,0,REG,REG,REG,REG,B,1,1,1,0,REG,REG,1,0,1,1,REG,1,A,0,1,1,0,C,ESC,B,1,0,3081636.5199999986,1.5456955246375117,6483792.850000009,0.1876010010061122,-94811082.30999997,0.3021232561051268
272,273,SE,MG,Bambuí,2002-05-21,Autarquia,23898,10156360.45,NÃO,,PEQUENO PORTE,menos favorável,1,1,0,1,REG,REG,REG,REG,C,1,1,1,0,IRG,REG,0,0,1,1,REG,0,B,0,1,1,1,C,ESC,C,0,0,-3564719.42,0.540580017821872,-825638.5199999997,-0.07518107789441919,-57541880.65561643,0.1500239930038212
273,274,NE,PE,Barra de Guabiraba,2006-09-20,Fund. Dir. Púbico,14510,93575.9,NÃO,,PEQUENO PORTE,menos favorável,1,1,0,0,REG,REG,JUD,JUD,C,1,0,0,1,JUD,JUD,1,0,1,1,REG,0,A,1,1,1,0,C,EL,C,0,0,-635184.8900000006,0.8590032035647074,86318.64,11.89410879588164,-88524064.96,0.0010559511525231545
274,275,SE,RJ,Barra Mansa,2005-06-08,Órgão Adm. Direta,184833,13647954.82,NÃO,,GRANDE PORTE,menos favorável,1,0,0,0,REG,REG,JUD,REG,A,1,1,1,0,JUD,REG,0,0,0,0,REG,0,C,0,1,0,0,A,ESC,C,1,0,-38319141.99999999,0.5516159910306213,5247666.16,0.6247006945116098,,
275,276,S,SC,Barra Velha,2006-09-13,Autarquia,29860,34229798.85,SIM,NÃO,MÉDIO PORTE,mais favorável,1,1,1,1,REG,REG,REG,REG,A,1,1,1,0,REG,REG,0,1,1,1,REG,1,B,1,1,1,0,C,EL,C,1,1,5702619.149999999,1.9401279112051657,7240381.690000001,0.26826743412342746,-75231128.68,0.31271248675120744
276,277,S,PR,Barracão,2007-03-21,Outros,10312,17027054.94,NÃO,,PEQUENO PORTE,menos favorável,1,1,0,1,REG,REG,REG,REG,B,1,1,0,0,REG,REG,1,0,0,1,REG,1,A,0,0,1,0,A,ESC,C,1,0,942433.0000000005,1.2894016249921834,1771229.16,0.1161018213987497,-28104711.669999998,0.3772742841452889
277,278,CO,GO,Barro Alto,2002-03-11,Autarquia,15054,13206312.69,NÃO,,MÉDIO PORTE,mais favorável,1,1,0,0,REG,REG,REG,REG,B,1,1,1,0,IRG,REG,1,0,1,0,REG,0,B,0,1,1,0,B,EL,C,1,0,-2935180.2,0.3372294577833147,1584213.98,0.13631049086142188,-82795554.75000001,0.1375630812416621
278,279,NE,CE,Baturité,2017-05-17,Autarquia,35941,17297219.25,NÃO,,MÉDIO PORTE,mais favorável,1,1,0,1,REG,REG,IRG,REG,A,1,1,1,0,REG,REG,1,0,1,1,REG,1,A,1,1,1,0,B,EL,C,1,0,6953992.76,11.455029487077734,8166044.99,0.8943039260319625,-114627719.78,0.13111409697954515
279,280,NE,PE,Belo Jardim,1991-10-01,Autarquia,76687,43886553.38,NÃO,,MÉDIO PORTE,menos favorável,1,1,0,0,IRG,REG,JUD,REG,C,0,0,1,0,IRG,IRG,0,0,0,0,REG,0,C,0,1,1,0,A,ESC,,0,0,-11335142.8,0.5231114624272429,4938792.630000003,0.12680556044547453,,
280,281,NE,PE,Bezerros,2005-12-15,Autarquia,60880,2490263.85,NÃO,,MÉDIO PORTE,menos favorável,1,1,0,1,REG,REG,JUD,REG,B,0,1,1,0,REG,REG,0,0,0,1,REG,1,B,1,1,0,0,A,ESC,C,0,0,-4937919.220000001,0.5995895555516506,-2236857.72,-0.47319657150260264,-228801934.19,0.010766743846540515
281,282,SE,SP,Biritiba-Mirim,2004-12-22,Autarquia,32936,62957113.56,NÃO,,MÉDIO PORTE,mais favorável,1,0,0,0,REG,REG,IRG,REG,B,1,1,1,1,REG,REG,0,0,0,0,REG,0,B,0,1,1,0,A,EL,B,1,0,,,11206110.6,0.21653900328582165,-49188838.129999995,0.5613855213786898
